Ano;Salário Mínimo;Salário Mínimo Ideal
1996;R$ 112,00;R$ 803,28
1997;R$ 120,00;R$ 820,86
1998;R$ 130,00;R$ 882,78
1999;R$ 136,00;R$ 908,74
2000;R$ 151,00;R$ 1.003,67
2001;R$ 180,00;R$ 1.070,46
2002;R$ 200,00;R$ 1.154,69
2003;R$ 240,00;R$ 1.359,03
2004;R$ 260,00;R$ 1.527,56
2005;R$ 300,00;R$ 1.497,23
2006;R$ 350,00;R$ 1.510,00
2007;R$ 380,00;R$ 1.688,35
2008;R$ 415,00;R$ 2.072,70
2009;R$ 465,00;R$ 2.046,99
2010;R$ 510,00;R$ 2.011,03
2011;R$ 545,00;R$ 2.212,66
2012;R$ 622,00;R$ 2.519,97
2013;R$ 678,00;R$ 2.750,83
2014;R$ 724,00;R$ 2.915,07
2015;R$ 766,00;R$ 3.299,66
2016;R$ 880,00;R$ 3.940,26
2017;R$ 937,00;R$ 3.727,19
2018;R$ 954,00;R$ 3.674,77
2019;R$ 998,00;R$ 4.143,55
2020;R$ 1.045,00;R$ 4.595,60
2021;R$ 1.100,00;R$ 5.421,84
2022;R$ 1.212,00;R$ 6.388,55
2023;R$ 1.320,00;R$ 6.280,93
2024;R$ 1.412,00;R$ 6.802,88
2025;R$ 1.518,00;R$ 7.416,07
